sample	type
GSM657519	Normal
GSM657520	Normal
GSM657521	Normal
GSM657522	Normal
GSM657523	Normal
GSM657524	Normal
GSM657525	Normal
GSM657526	Normal
GSM657527	Normal
GSM657528	Normal
GSM657529	Ovarian
GSM657530	Ovarian
GSM657531	Ovarian
GSM657532	Ovarian
GSM657533	Ovarian
GSM657534	Ovarian
GSM657535	Ovarian
GSM657536	Ovarian
GSM657537	Ovarian
GSM657538	Ovarian
GSM657539	Ovarian
GSM657540	Ovarian
GSM657541	Ovarian
GSM657542	Ovarian
GSM657543	Ovarian
GSM657544	Ovarian
GSM657545	Ovarian
GSM657546	Ovarian
GSM657547	Ovarian
GSM657548	Ovarian
GSM657549	Ovarian
GSM657550	Ovarian
GSM657551	Ovarian
GSM657552	Ovarian
GSM657553	Ovarian
GSM657554	Ovarian
GSM657555	Ovarian
GSM657556	Ovarian
GSM657557	Ovarian
GSM657558	Ovarian
GSM657559	Ovarian
GSM657560	Ovarian
GSM657561	Ovarian
GSM657562	Ovarian
GSM657563	Ovarian
GSM657564	Ovarian
GSM657565	Ovarian
GSM657566	Ovarian
GSM657567	Ovarian
GSM657568	Ovarian
GSM657569	Ovarian
GSM657570	Ovarian
GSM657571	Ovarian
GSM657572	Ovarian
GSM657573	Ovarian
GSM657574	Ovarian
GSM657575	Ovarian
GSM657576	Ovarian
GSM657577	Ovarian
GSM657578	Ovarian
GSM657579	Ovarian
GSM657580	Ovarian
GSM657581	Ovarian
GSM657582	Ovarian
GSM657583	Ovarian
GSM657584	Ovarian
GSM657585	Ovarian
GSM657586	Ovarian
GSM657587	Ovarian
GSM657588	Ovarian
GSM657589	Ovarian
GSM657590	Ovarian
GSM657591	Ovarian
GSM657592	Ovarian
GSM657593	Ovarian
GSM657594	Ovarian
GSM657595	Ovarian
GSM657596	Ovarian
GSM657597	Ovarian
GSM657598	Ovarian
GSM657599	Ovarian
GSM657600	Ovarian
GSM657601	Ovarian
GSM657602	Ovarian
GSM657603	Ovarian
GSM657604	Ovarian
GSM657605	Ovarian
GSM657606	Ovarian
GSM657607	Ovarian
GSM657608	Ovarian
GSM657609	Ovarian
GSM657610	Ovarian
GSM657611	Ovarian
GSM657612	Ovarian
GSM657613	Ovarian
GSM657614	Ovarian
GSM657615	Ovarian
GSM657616	Ovarian
GSM657617	Ovarian
GSM657618	Ovarian
GSM657619	Ovarian
GSM657620	Ovarian
GSM657621	Ovarian
GSM657622	Ovarian
GSM657623	Ovarian
GSM657624	Ovarian
GSM657625	Ovarian
GSM657626	Ovarian
GSM657627	Ovarian
GSM657628	Ovarian
GSM657629	Ovarian
GSM657630	Ovarian
GSM657631	Ovarian
GSM657632	Ovarian
GSM657633	Ovarian
GSM657634	Ovarian
GSM657635	Ovarian
GSM657636	Ovarian
GSM657637	Ovarian
GSM657638	Ovarian
GSM657639	Ovarian
GSM657640	Ovarian
GSM657641	Ovarian
GSM657642	Ovarian
GSM657643	Ovarian
GSM657644	Ovarian
GSM657645	Ovarian
GSM657646	Ovarian
GSM657647	Ovarian
GSM657648	Ovarian
GSM657649	Ovarian
GSM657650	Ovarian
GSM657651	Ovarian
GSM657652	Ovarian
GSM657653	Ovarian
GSM657654	Ovarian
GSM657655	Ovarian
GSM657656	Ovarian
GSM657657	Ovarian
GSM657658	Ovarian
GSM657659	Ovarian
GSM657660	Ovarian
GSM657661	Ovarian
GSM657662	Ovarian
GSM657663	Ovarian
GSM657664	Ovarian
GSM657665	Ovarian
GSM657666	Ovarian
GSM657667	Ovarian
GSM657668	Ovarian
GSM657669	Ovarian
GSM657670	Ovarian
GSM657671	Ovarian
GSM657672	Ovarian
GSM657673	Ovarian
GSM657674	Ovarian
GSM657675	Ovarian
GSM657676	Ovarian
GSM657677	Ovarian
GSM657678	Ovarian
GSM657679	Ovarian
GSM657680	Ovarian
GSM657681	Ovarian
GSM657682	Ovarian
GSM657683	Ovarian
GSM657684	Ovarian
GSM657685	Ovarian
GSM657686	Ovarian
GSM657687	Ovarian
GSM657688	Ovarian
GSM657689	Ovarian
GSM657690	Ovarian
GSM657691	Ovarian
GSM657692	Ovarian
GSM657693	Ovarian
GSM657694	Ovarian
GSM657695	Ovarian
GSM657696	Ovarian
GSM657697	Ovarian
GSM657698	Ovarian
GSM657699	Ovarian
GSM657700	Ovarian
GSM657701	Ovarian
GSM657702	Ovarian
GSM657703	Ovarian
GSM657704	Ovarian
GSM657705	Ovarian
GSM657706	Ovarian
GSM657707	Ovarian
GSM657708	Ovarian
GSM657709	Ovarian
GSM657710	Ovarian
GSM657711	Ovarian
GSM657712	Ovarian
GSM657713	Ovarian
