LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
HULC	miR-372	PRKACB	20423907	Western blot;qRT-PCR;luciferase reporter assays;Chromatin immunoprecipitation assays
BACE1-AS	miR-485-5p	BACE1	20507594	qRT-PCR;luciferase reporter assays
HOTAIR	miR-331-3p	HER	24775712	Western blot;luciferase reporter assays
MRAK088388	miR-29b-3p	N4bp2	24702795	qRT-PCR
MRAK081523	let-7i	N4bp2	24702795	qRT-PCR
lincRNA-ROR	miR-145	Oct4	23541921	Luciferase reporter assay
lincRNA-ROR	miR-145	Nanog	23541921	Luciferase reporter assay
lincRNA-ROR	miR-145	Sox2	23541921	Luciferase reporter assay
lincRNA-ROR	miR-145	NA	24589415	qRT-PCR
PTCSC3	miR-574-5p	PTCSC3	23599737	qRT-PCR
linc-MD1	miR-133	MAML1	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
linc-MD1	miR-135	MAML1	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
linc-MD1	miR-133	MEF2C	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
linc-MD1	miR-135	MEF2C	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
AK020764	miR-142-3p	NA	19494298	qRT-PCR
AK020764	miR-142-5p	NA	19494298	qRT-PCR
H19	let-7a	Dicer	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Hmga2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Igf1	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Igf2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Dicer	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Hmga2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Igf1	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Igf2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7b	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7c	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7e	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7i	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
GAS5	miR-21	NA	23933812	Western blot;qRT-PCR;RNA immunoprecipitation;luciferase reporter assays
CARL	miR-539	PHB2	24710105	Western blot;qRT-PCR;luciferase reporter assays
CHRF	miR-489	Myd88	24557880	Western blot;qRT-PCR;luciferase reporter assays
