LncRNA name	MiRNA name 	Gene name	Disease(TCGA)	Activity score
RP11-342K2.1	hsa-miR-29b-3p	NKIRAS2	ACC	0.538893328945656
LINC01278	hsa-miR-130b-3p	ZBTB4	ACC	0.498071389695826
RP11-342K2.1	hsa-miR-29b-3p	SFPQ	ACC	0.492058558448093
RP11-342K2.1	hsa-miR-29a-3p	ATG9A	ACC	0.479850377995049
RP11-342K2.1	hsa-miR-29b-3p	SPARC	ACC	0.46471412373202
RP11-342K2.1	hsa-miR-29a-3p	KDM5B	ACC	0.458057273768747
RP11-677M14.8	hsa-miR-29c-3p	NASP	ACC	0.454236107437637
RP11-342K2.1	hsa-miR-29b-3p	GATA3	ACC	0.453595045991173
LINC01578	hsa-miR-29b-3p	SFPQ	ACC	0.449450987281766
RP11-342K2.1	hsa-miR-29c-3p	SERPINH1	ACC	0.448107835109569
RP5-1074L1.4	hsa-miR-29c-3p	NASP	ACC	0.447891787640199
RP11-342K2.1	hsa-miR-29c-3p	TDG	ACC	0.443992069494497
FTX	hsa-miR-93-5p	ZBTB4	ACC	0.439850750392551
RP11-342K2.1	hsa-miR-29a-3p	SPARC	ACC	0.4367226038985
CYTOR	hsa-miR-513a-5p	DR1	ACC	0.434399309014042
RP1-193H18.2	hsa-miR-96-5p	MITF	ACC	0.432856929483804
RP11-342K2.1	hsa-miR-29a-3p	SERPINH1	ACC	0.432051805712422
RP11-342K2.1	hsa-miR-29a-3p	TET1	ACC	0.431686923198438
RP11-342K2.1	hsa-miR-29b-3p	TET1	ACC	0.431614641948942
RP11-342K2.1	hsa-miR-29a-3p	MUC1	ACC	0.430782393196004
RP11-342K2.1	hsa-miR-29b-3p	HMGA2	ACC	0.429930060974206
RP11-342K2.1	hsa-miR-29b-3p	BIRC5	ACC	0.429902504105361
RP11-342K2.1	hsa-miR-29b-3p	MMP15	ACC	0.428923753628925
RP11-342K2.1	hsa-miR-29b-3p	TDG	ACC	0.428630505693091
RP11-342K2.1	hsa-miR-29a-3p	DNMT3A	ACC	0.428140107608847
RP11-342K2.1	hsa-miR-29b-3p	SERPINH1	ACC	0.426498170162376
SH3BP5-AS1	hsa-miR-181a-5p	NLK	ACC	0.425365885314247
RP11-677M14.8	hsa-miR-29c-3p	TDG	ACC	0.425291995397758
RP13-39P12.3	hsa-miR-130b-3p	ZBTB4	ACC	0.4250600376446
RP11-342K2.1	hsa-miR-29b-3p	HDAC4	ACC	0.423449219313904
RP11-342K2.1	hsa-miR-29b-3p	DNMT3A	ACC	0.422443538493053
RP11-342K2.1	hsa-miR-29a-3p	TDG	ACC	0.421700194947268
RP11-342K2.1	hsa-miR-29c-3p	NASP	ACC	0.420232662548787
LINC01578	hsa-miR-29b-3p	DNMT3A	ACC	0.418556270729729
RP11-342K2.1	hsa-miR-29c-3p	TET1	ACC	0.418341674771866
LINC01578	hsa-miR-29b-3p	HDAC4	ACC	0.416716944542534
RP11-33E12.2	hsa-miR-193a-3p	E2F6	ACC	0.415424010625183
LINC01578	hsa-miR-29b-3p	GATA3	ACC	0.413979093184899
LINC01578	hsa-miR-29b-3p	NKIRAS2	ACC	0.412437766606783
RP11-342K2.1	hsa-miR-29a-3p	CDK6	ACC	0.411065008353175
RP11-342K2.1	hsa-miR-29b-3p	CDK6	ACC	0.410202310805561
RP11-342K2.1	hsa-miR-29b-3p	BMP1	ACC	0.408972323808786
MALAT1	hsa-miR-96-5p	MITF	ACC	0.406027251272905
SNHG16	hsa-miR-506-3p	TCF3	ACC	0.405783318401493
IGFL2-AS1	hsa-miR-433-3p	MET	ACC	0.402167920743164
GAS5	hsa-miR-30b-3p	ADAM12	ACC	0.401775145443764
RP11-342K2.1	hsa-miR-29c-3p	RCC2	ACC	0.400492132202291
RP5-1074L1.4	hsa-miR-29c-3p	RCC2	ACC	0.4004560695279
ZRANB2-AS2	hsa-miR-550a-5p	CPEB4	ACC	0.399734609089883
RP11-677M14.8	hsa-miR-29c-3p	RCC2	ACC	0.395389900645225
RP11-342K2.1	hsa-miR-29a-3p	ROBO1	ACC	0.395385695916683
